,acousticness,added_at,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,trackName,track_href,type,uri,valence
757,0.755,2016-08-06T01:46:08Z,https://api.spotify.com/v1/audio-analysis/2kJqNHHGOzLNahukdvlDWN,0.658,196466,0.447,2kJqNHHGOzLNahukdvlDWN,3.67e-06,9,0.0828,-8.315,1,0.0987,141.742,4,Drive,https://api.spotify.com/v1/tracks/2kJqNHHGOzLNahukdvlDWN,audio_features,spotify:track:2kJqNHHGOzLNahukdvlDWN,0.397
758,0.198,2016-08-03T05:51:20Z,https://api.spotify.com/v1/audio-analysis/4h7eeTElsQMwqzFhu5u2of,0.588,218400,0.728,4h7eeTElsQMwqzFhu5u2of,5.67e-05,10,0.12,-5.893,0,0.171,100.112,4,Aloha,https://api.spotify.com/v1/tracks/4h7eeTElsQMwqzFhu5u2of,audio_features,spotify:track:4h7eeTElsQMwqzFhu5u2of,0.434
759,0.343,2015-09-17T15:56:00Z,https://api.spotify.com/v1/audio-analysis/0ihQAw4HQ6mwOlOD2sxA1k,0.655,319680,0.686,0ihQAw4HQ6mwOlOD2sxA1k,0.0112,1,0.762,-7.636,1,0.194,174.874,4,Heartbreak Dreamer,https://api.spotify.com/v1/tracks/0ihQAw4HQ6mwOlOD2sxA1k,audio_features,spotify:track:0ihQAw4HQ6mwOlOD2sxA1k,0.242
760,0.0491,2016-05-24T19:54:36Z,https://api.spotify.com/v1/audio-analysis/0VONLMK2jkkOKNVsEQ7Jfb,0.493,258207,0.698,0VONLMK2jkkOKNVsEQ7Jfb,2.56e-05,8,0.073,-5.136,1,0.0442,145.027,4,Run Away,https://api.spotify.com/v1/tracks/0VONLMK2jkkOKNVsEQ7Jfb,audio_features,spotify:track:0VONLMK2jkkOKNVsEQ7Jfb,0.197
761,0.0335,2015-02-27T08:19:26Z,https://api.spotify.com/v1/audio-analysis/6qhbaLaVXLbV6aq80GvITr,0.599,185693,0.798,6qhbaLaVXLbV6aq80GvITr,0.000107,1,0.168,-3.171,0,0.0349,122.923,4,East of Eden,https://api.spotify.com/v1/tracks/6qhbaLaVXLbV6aq80GvITr,audio_features,spotify:track:6qhbaLaVXLbV6aq80GvITr,0.553
762,0.0183,2016-09-01T19:13:52Z,https://api.spotify.com/v1/audio-analysis/2lnQRBzMUjSStGQRsGE8qU,0.577,210768,0.71,2lnQRBzMUjSStGQRsGE8qU,0.0,4,0.169,-6.728,0,0.103,96.122,4,Fading,https://api.spotify.com/v1/tracks/2lnQRBzMUjSStGQRsGE8qU,audio_features,spotify:track:2lnQRBzMUjSStGQRsGE8qU,0.598
763,0.00538,2016-05-20T15:22:23Z,https://api.spotify.com/v1/audio-analysis/6xczlVvkW6BTL9ehPUQx1j,0.557,216000,0.932,6xczlVvkW6BTL9ehPUQx1j,0.0,10,0.0919,-2.519,1,0.0675,114.995,4,Runaway,https://api.spotify.com/v1/tracks/6xczlVvkW6BTL9ehPUQx1j,audio_features,spotify:track:6xczlVvkW6BTL9ehPUQx1j,0.812
764,0.161,2017-07-31T03:33:45Z,https://api.spotify.com/v1/audio-analysis/7eElVgPcxDqmgGrSwVFI74,0.787,197236,0.484,7eElVgPcxDqmgGrSwVFI74,0.00474,6,0.135,-10.338,1,0.196,107.925,4,Sober,https://api.spotify.com/v1/tracks/7eElVgPcxDqmgGrSwVFI74,audio_features,spotify:track:7eElVgPcxDqmgGrSwVFI74,0.485
765,0.421,2015-11-25T21:21:03Z,https://api.spotify.com/v1/audio-analysis/3ZD3kjn80pQ9keYO8eqp9d,0.38,189333,0.553,3ZD3kjn80pQ9keYO8eqp9d,2.63e-06,7,0.0788,-6.621,1,0.0653,179.629,4,The Other,https://api.spotify.com/v1/tracks/3ZD3kjn80pQ9keYO8eqp9d,audio_features,spotify:track:3ZD3kjn80pQ9keYO8eqp9d,0.384
766,0.394,2017-11-29T15:09:36Z,https://api.spotify.com/v1/audio-analysis/7sHmFPQFdnXffbBSQy8aws,0.354,235435,0.762,7sHmFPQFdnXffbBSQy8aws,0.00683,1,0.0863,-5.198,1,0.109,184.021,4,We Won't Leave You (Paperwings Remix),https://api.spotify.com/v1/tracks/7sHmFPQFdnXffbBSQy8aws,audio_features,spotify:track:7sHmFPQFdnXffbBSQy8aws,0.159
