acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
0.00061,https://api.spotify.com/v1/audio-analysis/3qBEw5yuioLq8NDNcCcjDf,0.41,358701,0.95,3qBEw5yuioLq8NDNcCcjDf,0.519,7,0.375,-3.955,0,0.0428,0,174.061,4,https://api.spotify.com/v1/tracks/3qBEw5yuioLq8NDNcCcjDf,audio_features,spotify:track:3qBEw5yuioLq8NDNcCcjDf,0.259
0.000572,https://api.spotify.com/v1/audio-analysis/2eV7X1Y7xROVbUfT2mQ46a,0.489,423771,0.857,2eV7X1Y7xROVbUfT2mQ46a,0.433,4,0.112,-5.153,0,0.0393,0,175.011,4,https://api.spotify.com/v1/tracks/2eV7X1Y7xROVbUfT2mQ46a,audio_features,spotify:track:2eV7X1Y7xROVbUfT2mQ46a,0.666
0.337,https://api.spotify.com/v1/audio-analysis/4FXj4ZKMO2dSkqiAhV7L8t,0.652,228004,0.581,4FXj4ZKMO2dSkqiAhV7L8t,0.000101,9,0.0857,-8.511,1,0.0353,0,139.982,4,https://api.spotify.com/v1/tracks/4FXj4ZKMO2dSkqiAhV7L8t,audio_features,spotify:track:4FXj4ZKMO2dSkqiAhV7L8t,0.459
0.00655,https://api.spotify.com/v1/audio-analysis/75TV4hqqua7l3amTZOROx4,0.402,403636,0.834,75TV4hqqua7l3amTZOROx4,0.832,2,0.108,-6.35,1,0.0485,0,117.713,5,https://api.spotify.com/v1/tracks/75TV4hqqua7l3amTZOROx4,audio_features,spotify:track:75TV4hqqua7l3amTZOROx4,0.0278
0.00371,https://api.spotify.com/v1/audio-analysis/2gDUblIDWo42KPpL0cMjEc,0.451,379983,0.894,2gDUblIDWo42KPpL0cMjEc,0.941,5,0.213,-6.333,0,0.0408,0,172.015,4,https://api.spotify.com/v1/tracks/2gDUblIDWo42KPpL0cMjEc,audio_features,spotify:track:2gDUblIDWo42KPpL0cMjEc,0.0947
0.493,https://api.spotify.com/v1/audio-analysis/678Il61OEO8RkoES3qeiW4,0.633,354535,0.483,678Il61OEO8RkoES3qeiW4,0.901,1,0.0935,-12.575,0,0.104,0,175.955,4,https://api.spotify.com/v1/tracks/678Il61OEO8RkoES3qeiW4,audio_features,spotify:track:678Il61OEO8RkoES3qeiW4,0.11
0.00173,https://api.spotify.com/v1/audio-analysis/0rq1XbduKxoyf1MHJgKWM3,0.631,405814,0.908,0rq1XbduKxoyf1MHJgKWM3,0.889,4,0.341,-4.337,0,0.129,0,171.983,4,https://api.spotify.com/v1/tracks/0rq1XbduKxoyf1MHJgKWM3,audio_features,spotify:track:0rq1XbduKxoyf1MHJgKWM3,0.284
0.00611,https://api.spotify.com/v1/audio-analysis/37SqzcGDIOLqxhLvFuvRqt,0.611,317213,0.842,37SqzcGDIOLqxhLvFuvRqt,0.901,10,0.124,-7.655,0,0.0628,0,174.992,4,https://api.spotify.com/v1/tracks/37SqzcGDIOLqxhLvFuvRqt,audio_features,spotify:track:37SqzcGDIOLqxhLvFuvRqt,0.25
0.000314,https://api.spotify.com/v1/audio-analysis/331cG8eG1eIhZbyJ4JFMrt,0.596,331651,0.891,331cG8eG1eIhZbyJ4JFMrt,0.692,0,0.0778,-7.386,1,0.0452,0,175.051,4,https://api.spotify.com/v1/tracks/331cG8eG1eIhZbyJ4JFMrt,audio_features,spotify:track:331cG8eG1eIhZbyJ4JFMrt,0.0394
0.0181,https://api.spotify.com/v1/audio-analysis/1cwDGkmHv7pc1u58dhdxY2,0.471,351560,0.931,1cwDGkmHv7pc1u58dhdxY2,0.815,8,0.166,-3.898,1,0.0871,0,174.048,4,https://api.spotify.com/v1/tracks/1cwDGkmHv7pc1u58dhdxY2,audio_features,spotify:track:1cwDGkmHv7pc1u58dhdxY2,0.721
0.0015,https://api.spotify.com/v1/audio-analysis/4AtDV0ZXQQ4p9Hhwl8aze7,0.567,335050,0.866,4AtDV0ZXQQ4p9Hhwl8aze7,0.0131,8,0.0901,-6.834,0,0.0696,0,173.879,4,https://api.spotify.com/v1/tracks/4AtDV0ZXQQ4p9Hhwl8aze7,audio_features,spotify:track:4AtDV0ZXQQ4p9Hhwl8aze7,0.236
0.108,https://api.spotify.com/v1/audio-analysis/4RYIOIRgJPEQqNPKy42Y6Q,0.389,359681,0.301,4RYIOIRgJPEQqNPKy42Y6Q,0.581,8,0.0739,-12.823,0,0.0489,0,96.019,5,https://api.spotify.com/v1/tracks/4RYIOIRgJPEQqNPKy42Y6Q,audio_features,spotify:track:4RYIOIRgJPEQqNPKy42Y6Q,0.123
0.0131,https://api.spotify.com/v1/audio-analysis/5S72qUZcUnVFFQnf34C0TX,0.464,393022,0.983,5S72qUZcUnVFFQnf34C0TX,0.0565,9,0.29,-6.395,1,0.214,0,174.961,4,https://api.spotify.com/v1/tracks/5S72qUZcUnVFFQnf34C0TX,audio_features,spotify:track:5S72qUZcUnVFFQnf34C0TX,0.333
0.00568,https://api.spotify.com/v1/audio-analysis/1jwx49BBlWIOPFNGJ1UFS8,0.279,360757,0.49,1jwx49BBlWIOPFNGJ1UFS8,0.27,9,0.0713,-10.134,1,0.0505,0,173.953,5,https://api.spotify.com/v1/tracks/1jwx49BBlWIOPFNGJ1UFS8,audio_features,spotify:track:1jwx49BBlWIOPFNGJ1UFS8,0.0374
0.00377,https://api.spotify.com/v1/audio-analysis/2lLFQuDfZ8R62FNh0YFhCw,0.537,283413,0.624,2lLFQuDfZ8R62FNh0YFhCw,0.0787,5,0.177,-9.95,0,0.0378,0,140.079,4,https://api.spotify.com/v1/tracks/2lLFQuDfZ8R62FNh0YFhCw,audio_features,spotify:track:2lLFQuDfZ8R62FNh0YFhCw,0.161
0.00173,https://api.spotify.com/v1/audio-analysis/6yG8WBTFa2dgTuJWb0rahv,0.514,338874,0.923,6yG8WBTFa2dgTuJWb0rahv,0.736,5,0.341,-5.302,0,0.0387,0,175.009,4,https://api.spotify.com/v1/tracks/6yG8WBTFa2dgTuJWb0rahv,audio_features,spotify:track:6yG8WBTFa2dgTuJWb0rahv,0.32
0.000179,https://api.spotify.com/v1/audio-analysis/4PuTM3aRBPGCNQoKYVAGes,0.552,313610,0.907,4PuTM3aRBPGCNQoKYVAGes,0.614,10,0.368,-7.818,1,0.0619,0,169.998,4,https://api.spotify.com/v1/tracks/4PuTM3aRBPGCNQoKYVAGes,audio_features,spotify:track:4PuTM3aRBPGCNQoKYVAGes,0.735
0.0465,https://api.spotify.com/v1/audio-analysis/1FaRV9QwqojbmaTOZUW6lT,0.429,356583,0.956,1FaRV9QwqojbmaTOZUW6lT,0.881,5,0.121,-5.696,0,0.0858,0,175.034,4,https://api.spotify.com/v1/tracks/1FaRV9QwqojbmaTOZUW6lT,audio_features,spotify:track:1FaRV9QwqojbmaTOZUW6lT,0.102
0.0485,https://api.spotify.com/v1/audio-analysis/57acCQx4XObEVVznIesfRl,0.183,385473,0.873,57acCQx4XObEVVznIesfRl,0.828,10,0.137,-4.251,0,0.0364,0,173.988,4,https://api.spotify.com/v1/tracks/57acCQx4XObEVVznIesfRl,audio_features,spotify:track:57acCQx4XObEVVznIesfRl,0.0629
0.00133,https://api.spotify.com/v1/audio-analysis/4kQgw42XXtflmarri3Od0d,0.805,556330,0.612,4kQgw42XXtflmarri3Od0d,0.833,0,0.0814,-7.024,1,0.0432,0,126.021,4,https://api.spotify.com/v1/tracks/4kQgw42XXtflmarri3Od0d,audio_features,spotify:track:4kQgw42XXtflmarri3Od0d,0.668
0.889,https://api.spotify.com/v1/audio-analysis/2KjOTvEW7r3txAQo1lTLHH,0.204,248000,0.0811,2KjOTvEW7r3txAQo1lTLHH,0.794,0,0.111,-21.019,0,0.0342,0,143.971,4,https://api.spotify.com/v1/tracks/2KjOTvEW7r3txAQo1lTLHH,audio_features,spotify:track:2KjOTvEW7r3txAQo1lTLHH,0.0617
0.981,https://api.spotify.com/v1/audio-analysis/50igu8o9rzH72Gr1RMnPgj,0.403,293880,0.0492,50igu8o9rzH72Gr1RMnPgj,0.927,3,0.114,-21.943,1,0.0352,0,131.941,4,https://api.spotify.com/v1/tracks/50igu8o9rzH72Gr1RMnPgj,audio_features,spotify:track:50igu8o9rzH72Gr1RMnPgj,0.159
0.974,https://api.spotify.com/v1/audio-analysis/69HHa0HJU459pNPqv9DJDy,0.314,238000,0.104,69HHa0HJU459pNPqv9DJDy,0.895,3,0.144,-20.965,1,0.034,0,131.172,4,https://api.spotify.com/v1/tracks/69HHa0HJU459pNPqv9DJDy,audio_features,spotify:track:69HHa0HJU459pNPqv9DJDy,0.123
0.0865,https://api.spotify.com/v1/audio-analysis/5nCZJANO7eTKUQ2rMnGfRM,0.441,231695,0.818,5nCZJANO7eTKUQ2rMnGfRM,0.0106,8,0.103,-5.88,1,0.044,0,174.025,4,https://api.spotify.com/v1/tracks/5nCZJANO7eTKUQ2rMnGfRM,audio_features,spotify:track:5nCZJANO7eTKUQ2rMnGfRM,0.0674
